图片链接(点击核对),茶记标题,教师标签(类型 | 描述),"专家批注(对则留空,错则写正确口径)",序号
https://puer.im/uploads/evernote/f33aea90a536.jpg,滑竹梁子南糯山尝尝2020年的新茶,汤色 | 玻璃公道杯中盛有金黄明亮的茶汤，杯壁布满冷凝水珠，汤体清澈通透。,,14
https://puer.im/uploads/evernote/e648de304f2a.jpg,99年下关全红内飞的8653,饼面 | 深褐色茶饼条索肥壮显银毫，中央嵌有印红色“茶”字图案的白色内飞，边缘露出红色包装纸。,,15
https://puer.im/uploads/evernote/caada369c17d.jpg,99年下关全红内飞的8653,叶底 | 叶底呈深绿褐色，叶片舒展且可见明显茶梗，置于白底蓝纹盘中。,,16
https://puer.im/uploads/evernote/1815b4fbb8f6.jpg,02年易昌号金竹山,内飞或特写 | 深褐色破碎茶块环绕一张印有绿色“荣”字及“普洱茶”字样的方形内飞。,,17
https://puer.im/uploads/evernote/336799eb841d.jpg,02年易昌号金竹山,汤色 | 茶汤呈明亮的橙黄色，正从深色茶壶倒入白瓷杯中，汤质清澈。,,18
https://puer.im/uploads/evernote/0139122fad71.jpg,02年易昌号金竹山,汤色 | 白瓷杯中盛有橙红明亮的茶汤，色泽通透如琥珀。,,19
https://puer.im/uploads/evernote/bdeacaee8189.jpg,02年易昌号金竹山,叶底 | 叶底呈深褐至墨绿色，叶片舒展完整且表面油润，置于白底蓝花瓷盘中。,,20
https://puer.im/uploads/evernote/ccce397a951e.jpg,92下关八中商检沱,其他 | 绿色圆柱形沱茶包装，印有白色“YUNNAN”及红色“CIB”标志，边缘可见磨损。,,21
https://puer.im/uploads/evernote/49e8acabf654.jpg,92下关八中商检沱,汤色 | 透明玻璃公道杯中盛有清澈明亮的红褐色茶汤，色泽通透如琥珀。,,22
https://puer.im/uploads/evernote/50f89cd0b2b8.jpg,92下关八中商检沱,其他 | 黑褐色/深褐色干茶条索，散落在浅色竹席/木纹背景上，条索紧结卷曲，色泽油润。,,23
https://puer.im/uploads/evernote/62e3e15ae78e.jpg,01年何仕华监制“景迈千年古树茶”,版面 | 灰白色棉纸包装，印有红色“千年古茶树茶”及绿色“茶”字，下方有英文说明。,,24
https://puer.im/uploads/evernote/72a5dd556a84.jpg,01年何仕华监制“景迈千年古树茶”,饼面 | 茶饼呈圆形，条索紧结色泽墨绿深褐，饼面中央嵌有一张印有绿色图案的白色内飞。,,25
https://puer.im/uploads/evernote/aceb4d1b3d15.jpg,01年何仕华监制“景迈千年古树茶”,汤色 | 白瓷杯中盛有橙红明亮的茶汤，表面可见细密的气泡。,,26
https://puer.im/uploads/evernote/218b59c0ac13.jpg,01年何仕华监制“景迈千年古树茶”,汤色 | 白底蓝花瓷杯中盛有橙红透亮的茶汤，液面边缘有细密泡沫，杯底可见线条图案。,,27
https://puer.im/uploads/evernote/40ff9893fc7e.jpg,01年何仕华监制“景迈千年古树茶”,叶底 | 叶底呈黄绿色至橄榄色，条索舒展完整，置于白底蓝花瓷盘中。,,28
https://puer.im/uploads/evernote/08c0a55d437f.jpg,97大口中7542（水蓝印）,版面 | 白色棉纸包装印有红色“云南七子饼茶”字样，中央为红圈绿“八”中茶商标，下方可见“中国土产畜产”字样，外部包裹黄褐色竹箬。,,29
https://puer.im/uploads/evernote/618579559c59.jpg,97大口中7542（水蓝印）,饼面 | 深褐色圆形茶饼置于木质托盘中，条索紧结，中央嵌有一张白色标签纸。,,30
https://puer.im/uploads/evernote/0f7b8076376d.jpg,97大口中7542（水蓝印）,汤色 | 白瓷碗中盛有红浓明亮的红褐色茶汤，边缘泛橙黄色光圈，液面有清晰反光。,,31
https://puer.im/uploads/evernote/5fc52195b061.jpg,97大口中7542（水蓝印）,叶底 | 深褐色叶底，叶片舒展且带有茶梗，置于白底蓝花瓷盘中。,,32
https://puer.im/uploads/evernote/a1a3dd74237f.jpg,【天天论普】_501/7542（非白布条）,大票或内票 | 泛黄且有折痕破损的纸质大票，印有蓝色“大益牌”Logo及表格信息，红色手写“501”、“7542”及“33”、“30”千克重量，底部印有“勐海茶业有限责任公司出品”。,,33
https://puer.im/uploads/evernote/024d18b2677c.jpg,【天天论普】_501/7542（非白布条）,版面 | 白色棉纸印有红色“云南七子饼茶”及大益商标，纸张陈旧可见折痕与虫眼。,,34
https://puer.im/uploads/evernote/70d7e6fe2d05.jpg,【天天论普】_501/7542（非白布条）,其他 | 白底界面截图，显示黄色六角星图标及黑色“看一看”文字，底部为灰色“发现”导航栏，背景隐约可见水印。,,35
https://puer.im/uploads/evernote/02da5abbda16.jpg,【天天论普】_501/7542（非白布条）,其他 | 黑白相间的二维码图案。,,36
https://puer.im/uploads/evernote/5290d0980b97.jpg,【天天论普】_97华联砖,版面 | 白色包装纸印有红色“云南普洱茶砖”及“澳门华联公司监制”字样，纸面有折痕和少量污渍。,,37
https://puer.im/uploads/evernote/02d130b6031c.jpg,【天天论普】_97华联砖,其他 | 整提外包装纸表面布满大量黑色不规则斑块（疑似霉斑或污渍），中间有粉色箭头指向接缝处。,,38
https://puer.im/uploads/evernote/46f655d18fe7.jpg,【天天论普】_97华联砖,版面 | 米黄色陈旧包装纸，印有红色“云南普洱茶砖”及“澳门华联公司监制”字样，纸张有明显折痕、边缘磨损及虫洞。,,39
https://puer.im/uploads/evernote/aeee4ddfe1d8.jpg,【天天论普】_97华联砖,其他 | 竹篾捆扎的四块茶砖整体包装，中间覆盖一张陈旧的黄褐色大纸，两侧露出灰白色棉纸包裹的茶砖，纸面可见破损与虫蛀痕迹。,,40
https://puer.im/uploads/evernote/7d709bf10921.jpg,【天天论普】_97华联砖,其他 | 黑白二维码图案，由密集黑色方块和白色背景组成，三个角落有回字形定位符。,,41
https://puer.im/uploads/evernote/b6213862b6eb.jpg,【天天论普】_97华联砖,其他 | 多块长方形茶砖被泛黄且带有褶皱和黑色斑点的棉纸包裹，中间茶砖有粉色箭头指向包装折痕处。,,42
https://puer.im/uploads/evernote/be89e056b07e.jpg,901-7542的厚积与木香,汤色 | 玻璃公道杯内盛有橙红明亮的茶汤，通透清澈。,,43
https://puer.im/uploads/evernote/23168fa8737c.jpg,901-7542的厚积与木香,汤色 | 茶汤呈橙黄色，盛于开片白瓷杯中，杯底可见少量深色茶渣沉淀。,,44
https://puer.im/uploads/evernote/efd0a1e42f10.jpg,901-7542的厚积与木香,叶底 | 紫砂壶内装满泡开的茶叶，叶片呈黄绿及褐色，条索舒展且表面湿润。,,45
https://puer.im/uploads/evernote/33e3027e27b1.jpg,2004-b堆（357-389克）,版面 | 米黄色棉纸印有棕色“中茶牌乔木圆茶”字样及茶壶图案，茶饼置于浅色木盒中。,,46
https://puer.im/uploads/evernote/14c055a3fa29.jpg,2004-b堆（357-389克）,饼面 | 深褐色茶饼置于电子秤上，条索紧结显金毫，显示重量为388.5克。,,47
https://puer.im/uploads/evernote/fceece3049da.jpg,2004-b堆（357-389克）,饼面 | 深黑褐色饼面，条索紧结夹杂明显金黄色芽头，四周被白色棉纸半包裹。,,48
https://puer.im/uploads/evernote/953e4c1cf311.jpg,要了解普洱茶，先了解7542,其他 | 黑白相间的方形二维码图案。,,49
https://puer.im/uploads/evernote/e97b0b0bd50d.jpg,要了解普洱茶，先了解7542,版面 | 棉纸泛黄陈旧，印有紫红色“云南七子饼茶”及“益”字商标，右侧边缘有明显破损与虫洞。,,50
https://puer.im/uploads/evernote/c0c86904be71.jpg,要了解普洱茶，先了解7542,版面 | 泛黄陈旧的棉纸上印有红色“云南七子饼茶”及绿色“茶”字商标，右侧边缘破损露出黑褐色茶体。,,51
https://puer.im/uploads/evernote/0581d17bdcb8.jpg,要了解普洱茶，先了解7542,版面 | 白色棉纸包装印有红色“云南七子饼茶”字样及中央红色“益”字商标，纸面可见多处黑色虫眼与陈旧痕迹。,,52
https://puer.im/uploads/evernote/fcf3697da618.jpg,要了解普洱茶，先了解7542,版面 | 印有红色“云南七子饼茶”字样及绿色“茶”字商标的棉纸包装，纸张泛黄陈旧且有破损。,,53
https://puer.im/uploads/evernote/515f2cdaff2b.jpg,92下关四喜砖-10克茶样,汤色 | 浅黄明亮的茶汤盛于开片白瓷杯中，杯底可见少量深褐色茶渣。,,54
https://puer.im/uploads/evernote/b9409e31e0ce.jpg,92下关四喜砖-10克茶样,汤色 | 玻璃公道杯中盛有橙红透亮的茶汤，杯壁凝结着细密水珠。,,55
https://puer.im/uploads/evernote/bd0edd6649c5.jpg,92下关四喜砖-10克茶样,叶底 | 俯视紫砂壶内深褐色且油润的湿润茶叶，叶片舒展。,,56
https://puer.im/uploads/evernote/2177c904df1e.jpg,1999下关全红飞8653飞台定制,其他 | 透明自封袋内装有深黑褐色的干茶茶样，袋身贴有红框标签手写“99年内飞8653 10g”。,,57
https://puer.im/uploads/evernote/7b6cc94d2117.jpg,1999下关全红飞8653飞台定制,其他 | 深色木质茶荷中盛放着深褐黑色的紧结干茶茶块，条索卷曲。,,58
https://puer.im/uploads/evernote/ff06efee8086.jpg,1999下关全红飞8653飞台定制,汤色 | 玻璃公道杯内盛有少量橙黄透亮的茶汤，杯壁布满细密水珠。,,59
https://puer.im/uploads/evernote/b14c87429964.jpg,1999下关全红飞8653飞台定制,汤色 | 玻璃公道杯内盛有橙红透亮的茶汤，杯壁附着细密水珠，置于藤编垫上。,,60
https://puer.im/uploads/evernote/fd6a21d10aed.jpg,1999下关全红飞8653飞台定制,汤色 | 玻璃公道杯内盛有橙红透亮的茶汤，杯壁布满细密水珠，置于藤编杯垫上。,,61
https://puer.im/uploads/evernote/e9aebc737f4a.jpg,1999下关全红飞8653飞台定制,其他 | 图片为低分辨率像素风格图标，显示白色杯子盛有棕色液体，上方有蓝色波浪状热气。,,62
https://puer.im/uploads/evernote/1ca572293fc5.jpg,1999下关全红飞8653飞台定制,版面 | 白色棉纸包装，印有红色“云南七子饼茶”及“中茶牌”字样，中央为绿色“茶”字标，纸面有污渍和边缘破损，旁置一把紫砂壶。,,63
https://puer.im/uploads/evernote/44860a870a28.jpg,1999下关全红飞8653飞台定制,饼面 | 深褐色紧压茶饼，条索清晰，中心嵌有印黑色图案及红色圆环的白色方形内飞，置于白色棉纸上。,,64
https://puer.im/uploads/evernote/b3db3b66c21f.jpg,1999下关全红飞8653飞台定制,饼面 | 深黑褐色茶饼，条索紧结，可见少量金黄色芽头，置于白色棉纸上，中心有明显凹陷。,,65
https://puer.im/uploads/evernote/ac9125855c74.jpg,1999下关全红飞8653飞台定制,大票或内票 | 泛黄纸张印有蓝色“30公斤”、“广州”及批次表格字样，外覆透明塑料膜。,,66
https://puer.im/uploads/evernote/ac6f0c0df09a.jpg,1999下关全红飞8653飞台定制,版面 | 书本页面展示了中茶牌云南七子饼茶的版面，红色繁体字环绕，中央为绿色“茶”字商标，底部印有公司全称，旁附产品文字说明及茶饼图。,,67
https://puer.im/uploads/evernote/7044af967314.jpg,再品大国韵,版面 | 白色棉纸包装正面，印有红色“勐海今大福七子饼茶”环绕字样，中央为深色图腾及“大国韵茶王青饼”文字，标注净含量400克及生茶属性，置于木盘中。,,68
https://puer.im/uploads/evernote/8bfca27ad5f9.jpg,再品大国韵,饼面 | 深褐色圆茶饼置于竹盘中，条索紧结显毫，中央嵌有白色标签，下方垫有票据。,,69
https://puer.im/uploads/evernote/7a9211ff4ee4.jpg,再品大国韵,饼面 | 茶饼呈黑褐色，条索清晰夹杂金黄色芽头，中间有凹陷，置于竹匾内的白纸上。,,70
https://puer.im/uploads/evernote/b4d72e113dd8.jpg,再品大国韵,汤色 | 透明玻璃公道杯中盛有橙红明亮的茶汤，杯壁附着大量冷凝水珠。,,71
https://puer.im/uploads/evernote/c6312ad6a680.jpg,再品大国韵,汤色 | 玻璃公道杯中盛有橙黄明亮的茶汤，杯壁可见凝结的水珠。,,72
https://puer.im/uploads/evernote/4bcc5a996812.jpg,再品大国韵,汤色 | 玻璃公道杯中盛有橙红透亮、清澈无杂质的茶汤。,,73
https://puer.im/uploads/evernote/fcaa14e9fcac.jpg,2001-下关8853-202004,汤色 | 玻璃公道杯内盛有橙红透亮的茶汤，杯壁附着大量冷凝水珠，杯身印有“陈升号”Logo。,,74
https://puer.im/uploads/evernote/62cd16fffc3c.jpg,2001-下关8853-202004,叶底 | 紫砂壶内可见深褐色湿润叶底，叶片舒展，色泽偏暗褐。,,75
https://puer.im/uploads/evernote/5b43dacd8522.jpg,2001-下关8853-202004,汤色 | 玻璃公道杯内盛有橙红明亮的茶汤，杯壁凝结着大量细密水珠。,,76
https://puer.im/uploads/evernote/51d8335a427c.jpg,福今06茶王砖，6.6克,其他 | 深色木质茶则中盛放着墨绿色、条索紧结呈块状的普洱干茶，夹杂少量黄褐色茶梗。,,77
https://puer.im/uploads/evernote/dd745d6fa0b4.jpg,福今06茶王砖，6.6克,汤色 | 玻璃公道杯中盛有橙黄透亮的茶汤，杯壁布满细密水珠，置于藤编杯垫上。,,78
https://puer.im/uploads/evernote/a376481565e2.jpg,福今06茶王砖，6.6克,汤色 | 浅蓝色花口杯中盛有浅黄偏绿的茶汤，杯壁可见褐色斑点。,,79
https://puer.im/uploads/evernote/ddf409e8cabe.jpg,福今06茶王砖，6.6克,汤色 | 玻璃公道杯中盛有橙红明亮的茶汤，清澈通透。,,80
https://puer.im/uploads/evernote/0033c3705fb9.jpg,福今06茶王砖，6.6克,汤色 | 橙红透亮的茶汤正从玻璃公道杯注入青花瓷品茗杯中，汤色明亮清澈。,,81
https://puer.im/uploads/evernote/b2f9855810df.jpg,福今06茶王砖，6.6克,汤色 | 浅青色花口瓷杯中盛有红褐色茶汤，汤色清澈明亮，杯底可见少量细小沉淀物。,,82
https://puer.im/uploads/evernote/f417285611e2.jpg,福今06茶王砖，6.6克,版面 | 白色棉纸包装，印有红色“勐海七子饼茶”环绕字样及中央绿色孔雀图案，标有“二00六年”、“班章特制青饼”及红色“顶级”印章。,,83
https://puer.im/uploads/evernote/0f14b15f1757.jpg,一个脏脏杯,其他 | 内壁呈淡青色的空置小茶杯，杯口边缘有褐色痕迹，外壁下方隐约可见蓝色纹饰。,,84
https://puer.im/uploads/evernote/20267d80a0c8.jpg,92方砖辨伪,版面 | 白色方形包装纸印有黑色“方茶”大字及三行产品描述，底部贴有手写“92年1月”日期的标签。,,85
https://puer.im/uploads/evernote/6d0bbfc2822d.jpg,92方砖辨伪,版面 | 白色包装纸面印有黑色“方茶”大字及“普洱方茶 茶条肥壮”等说明文字，下方贴有泛黄标签显示厂址为勐海县城新茶路一号。,,86
https://puer.im/uploads/evernote/1024de4bf713.jpg,92方砖辨伪,版面 | 白色包装纸上印有金色“普洱方茶”和巨大的红色“PUERH”字样，底部印有“中国土产畜产进出口公司云南省茶叶分公司”，外包塑料膜且下方中间有破损露出黑色茶砖。,,87
