pool 16344, b1 306, b2 done 8, this batch 200, workers 4
[4/200] 4bb437087b37.jpg: 汤色 | 深橙色透亮。
[76/200] 7127d3b0133d.jpg: 其他 | 条索紧结，色泽黑褐墨绿相间，置于深色木质茶则中。
[80/200] 2c80c7ecd183.jpg: 其他 | 白色花盆中种植着叶片深绿肥厚的芦荟，盆土呈深褐色。
[77/200] f223284472ab.jpg: 饼面 | 饼面条索紧结，色泽黑褐，表面嵌有一张印有“云南七子饼茶”及英文说明的破损纸张。
[79/200] 242baae8e4ea.jpg: 其他 | 八颗黑褐色团茶条索紧结，表面嵌有残破的红色标签纸。
[82/200] f5ebe4076e83.jpg: 汤色 | 玻璃公道杯中盛有橙黄透亮的茶汤，底部承以青瓷杯托。
[78/200] 25f03756828b.jpg: 汤色 | 青花品茗杯中茶汤呈红褐明亮，杯底可见环状黑色沉淀。
[83/200] 23c4cfa37588.jpg: 汤色 | 汤色红浓明亮，盛于白瓷品茗杯中。
[86/200] 1742022f630a.jpg: 其他 | 黑白老照片展示数人围在长方形木槽旁翻动深色茶叶进行解块发酵，背景为木质货架，图注“解块发酵”。
[84/200] 6dcfcd5c1442.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙红色，明亮，可见悬浮茶渣。
[81/200] 6f54d0eba8f8.jpg: 汤色 | 玻璃公道杯中茶汤呈橙红色，透亮。
[89/200] 293dfdfe302e.jpg: 汤色 | 白瓷品茗杯中盛有深橙红色茶汤，杯底及汤面可见明显的细小悬浮碎渣。
[87/200] 07107f68d6d3.jpg: 叶底 | 白瓷盘中盛放着黑褐色叶底，叶片舒展，色泽深褐并夹杂黄梗。
[90/200] 432ac9c1cd26.jpg: 其他 | 银色铝箔袋正面印有红色“香日子”品牌名及红色茶壶图案，中央竖排黑色“老枞水仙”书法字，右下角红底白字标
[88/200] 3833c205ee3d.jpg: 汤色 | 玻璃公道杯中茶汤呈橙红色，清澈透亮。
[91/200] 4c0c5c87ca70.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙红色，明亮，杯底可见少许茶渣。
[94/200] 99640f23baab.jpg: 版面 | 白底棉纸印有黄色“益”字商标及“云南七子饼茶”字样，纸面泛黄并可见虫眼与边缘破损。
[92/200] a6f1141a5740.jpg: 汤色 | 玻璃公道杯中盛有橙红透亮的茶汤。
[93/200] d282725fa37a.jpg: 汤色 | 玻璃公道杯中茶汤呈橙红色，透亮。
[95/200] a87b102b37fd.jpg: 汤色 | 白瓷品茗杯中茶汤呈深橙色明亮，杯底可见少许茶渣及气泡。
[97/200] cb22c021a196.jpg: 汤色 | 白瓷品茗杯中盛有红浓明亮的茶汤。
[85/200] 5d4dabc6bba8.jpg: 汤色 | 玻璃公道杯中茶汤呈红浓明亮色。
[99/200] de7490d50532.jpg: 汤色 | 白瓷品茗杯中茶汤红浓明亮，边缘呈红褐色，杯内可见一根茶叶。
[100/200] 91b5105b05f3.jpg: 版面 | 白底棉纸包装，中央印有褐金色“高山行心”书法大字，右侧竖排“宝和祥七子饼茶壬寅”，左侧饰有水墨纹理及“
[102/200] 55321b5135bf.jpg: 汤色 | 白瓷品茗杯中盛有深橙色茶汤，汤内可见细碎悬浮物，略显混浊。
[98/200] 3466752849dc.jpg: 汤色 | 品茗杯中茶汤呈橙黄色明亮，浸泡着深褐色叶底。
[101/200] 6269d6a162f0.jpg: 饼背 | 白色棉纸背面印有黑色“班章珍藏”产品参数、2021年5月20日生产日期及条形码，右下角贴有广隆茶业防伪
[104/200] 003466467dcf.jpg: 汤色 | 白瓷品茗杯中茶汤呈浅黄明亮，杯底可见少量茶叶碎屑。
[105/200] e98eb967071e.jpg: 汤色 | 茶汤从玻璃公道杯倒入青花瓷品茗杯，汤色橙黄明亮，公道杯内茶汤透亮。
[106/200] 17913218fd5c.jpg: 汤色 | 玻璃公道杯中茶汤呈红浓明亮色，清澈透亮。
[96/200] 2d4d1c1a26dd.jpg: 汤色 | 品茗杯中茶汤呈深橙色，明亮，杯底可见黑色茶渣碎末。
[107/200] 7b21bc8c1a19.jpg: 汤色 | 白瓷品茗杯中茶汤呈红浓色，边缘泛橙红，汤面漂浮有黑色碎末。
[108/200] f90ab19191dc.jpg: 汤色 | 玻璃公道杯中茶汤呈深橙色，杯底可见明显沉淀，略显浑浊。
[109/200] 523fabcc0f45.jpg: 汤色 | 白瓷品茗杯中茶汤呈红浓明亮。
[113/200] 638f32e6f0ed.jpg: 其他 | 仰拍视角下灰白色天空背景中的褐色高层住宅楼与左侧逆光的紫色花枝。
[110/200] 64e8a63f6874.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙黄明亮，液面边缘聚有一圈细密气泡。
[112/200] a13defb90476.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙黄色，明亮，汤面漂浮少量黑色茶碎。
[103/200] f6280c921489.jpg: 叶底 | 叶底呈深褐绿色，叶片已舒展，色泽油润。
[114/200] 3226698ddf7d.jpg: 汤色 | 玻璃公道杯中茶汤呈橙红色，清澈透亮。
[118/200] 97ee7a3aeb11.jpg: 特写 | 紫砂壶内盛有黑褐色紧结干茶，置于青花瓷碟上。
[117/200] 1f14a388b8ba.jpg: 汤色 | 玻璃公道杯中茶汤呈橙黄色，清澈透亮。
[120/200] 68a8a7f57f3d.jpg: 叶底 | 白瓷碗中叶底呈深褐墨绿色，叶片泡开舒展，夹杂明显茶梗。
[116/200] 50c41c673d0c.jpg: 汤色 | 玻璃公道杯中茶汤呈橙红色，透亮，液面有细密泡沫。
[122/200] 08db7163880e.jpg: 汤色 | 玻璃公道杯中盛有深橙色的茶汤，清澈透亮。
[121/200] 6296b970d14b.jpg: 汤色 | 玻璃公道杯中茶汤呈橙黄色，清澈透亮。
[123/200] 8f357ae96e17.jpg: 汤色 | 汤色呈红褐色，盛于白瓷品茗杯中，汤内可见黑色碎屑悬浮，略显混浊。
[125/200] a8cded0967da.jpg: 其他 | 灰色默认人像剪影占位图，无普洱茶相关元素。
[124/200] 1a26c41b31a2.png: 饼面 | 饼面呈黑褐色，条索紧结，可见清晰的茶叶条索与少量茶梗。
[126/200] d96b17290ab4.jpg: 汤色 | 橙黄明亮的茶汤盛于汝窑品茗杯中，汤内可见少量黑色碎茶渣。
[127/200] 838fb7b0e5a7.jpg: 其他 | 红边白底印绿色标志的班章生态饼茶版面与深褐色紧结且嵌有内飞的茶块同框展示。
[115/200] 8901bb364aac.jpg: 大票或内票 | 米白色纸张印有红色“金九熟沱”及原料工艺介绍文字，纸面褶皱，左下角可见蓝色QS标志。
[130/200] 81fdd48d10e5.jpg: 汤色 | 青瓷杯中盛有红浓明亮的茶汤。
[129/200] 113f7b4ccbd1.jpg: 汤色 | 白瓷品茗杯中盛有橙黄色茶汤，明亮。
[132/200] 31df6541e308.jpg: 汤色 | 红浓明亮的茶汤盛于白瓷品茗杯中。
[128/200] b0697179f73f.jpg: 汤色 | 品茗杯中茶汤呈橙黄明亮，杯底可见黑色碎茶渣。
[119/200] 5a4769651261.jpg: 叶底 | 白瓷盖碗中深褐色茶叶条索紧结，汤色浅黄明亮，液面浮有细密泡沫。
[131/200] cbba69db5dbd.jpg: 汤色 | 玻璃公道杯中盛有红浓明亮的茶汤，旁置一把紫砂壶。
[136/200] d513fa600efb.jpg: 汤色 | 玻璃公道杯中茶汤呈深橙偏红色，清澈透亮。
[135/200] 245bc8d0e1c0.jpg: 版面 | 红字“云南七子饼茶”及中央“益”字商标，棉纸泛黄略有虫洞。
[138/200] 34e86e54e63b.jpg: 汤色 | 玻璃公道杯中茶汤呈橙红色，清澈透亮。
[133/200] 38f7d22d3172.jpg: 汤色 | 玻璃杯中茶汤呈深橙色，明亮，杯底可见沉淀物及细微悬浮物。
[139/200] 1613a597d64a.jpg: 其他 | 图片为布朗拼配品鉴的文字记录截图，详述干茶青墨色加紫金色、爆烟香及七道茶汤由金褐至深褐色的色泽与体感变
[141/200] 44b5be7f09c7.jpg: 汤色 | 盛于青花品茗杯中，茶汤呈红浓明亮色泽，可见少量悬浮微粒。
[140/200] 83c55a817cb2.jpg: 其他 | 七饼普洱茶垂直堆叠，外包棉纸陈旧泛灰，边缘有红色圈纹，表面附着黑色碎茶渣。
[142/200] c6ab5b22e310.jpg: 饼面 | 黑褐色茶饼条索紧结，间显金毫，饼窝居中。
[134/200] b4e576e7581f.jpg: 版面 | 白底包装纸印有棕色“益”字标及“金色韵象饼茶”字样，标注净含量400克与2005年8月制。
[143/200] ea13eb848271.jpg: 饼背 | 米白色棉纸包裹茶饼，背面印有黑色生产地址及蓝色QS标志，纸面有褶皱与少量茶油黄斑，可见2014年12月
[145/200] dce3561c1d7e.jpg: 饼面 | 饼面条索紧结，色泽黑褐，嵌有一张印有红色图案的米黄色内飞。
[144/200] 8b801ef582b2.jpg: 汤色 | 白瓷杯中茶汤呈橙黄色，明亮，杯底可见少量茶毫。
[146/200] c714e536baf9.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙红明亮，杯底可见少许黑色茶渣。
[137/200] 0cd04c95fbf1.jpg: 汤色 | 红浓明亮的茶汤盛于品茗杯中。
[147/200] 33021b1e6ad4.jpg: 饼面 | 饼面条索紧结，色泽黑褐间杂金黄，上方嵌有红圈绿标的方形内飞。
[149/200] a11b45fb26e1.jpg: 其他 | 黑褐色紧压茶块，条索紧结，夹杂少量金黄色芽叶。
[148/200] 4d43adc85ee3.jpg: 汤色 | 玻璃公道杯中茶汤呈深橙色，清澈透亮。
[151/200] f16539472ce1.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙黄色，明亮，杯底可见黑色茶碎。
[152/200] 1b58c19ae819.png: 饼面 | 外包棉纸大面积破损露出黑褐色茶体，可见红色五角星印章及竖排文字。
[153/200] e4eff3e0e605.jpg: 版面 | 印有紫色孔雀图案及“勐海孔雀饼茶”字样的泛黄版面，可见虫蛀破洞。
[150/200] 21f2aafa56fd.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙红色，明亮。
[156/200] 037bb8090755.jpg: 汤色 | 青花品茗杯中茶汤呈红浓明亮状态。
[158/200] ca480ccc85e6.jpg: 汤色 | 白瓷品茗杯中盛有橙黄明亮的茶汤，汤面有气泡，杯底可见少量细微沉淀。
[155/200] b7e02a027cda.jpg: 汤色 | 白瓷品茗杯内橙红色茶汤明亮，表面有细密气泡，杯底可见少许黑色沉淀。
[157/200] 1fb8dac88a03.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙红明亮，表面浮有气泡，杯底可见少量黑色茶渣。
[161/200] 6f1d513a9787.jpg: 版面 | 版面为棉纸包装，印有红框蓝花边饰，中央书写蓝色“云南青砖”及“百茶堂”字样，上方注明“云南普洱茶(生茶
[160/200] 3dccaf80b5a7.jpg: 其他 | 深褐色条索紧结的普洱干茶，后方可见印有大益牌及勐海茶厂字样的包装盒。
[159/200] 0500d0632e33.jpg: 汤色 | 玻璃公道杯中茶汤呈橙黄色，清澈透亮。
[163/200] 9546f949f974.jpg: 叶底 | 叶底呈深褐绿色，叶片舒展，可见明显茶梗，质感油润。
[164/200] 8ab62720d25a.jpg: 汤色 | 白瓷品茗杯中盛有橙红色茶汤，汤面明亮。
[165/200] fa8a8db09dab.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙黄色，略显混浊，可见细小茶渣。
[162/200] af1d85d27002.jpg: 汤色 | 玻璃公道杯中盛有红浓明亮的茶汤，杯身印有大益茶红色标识。
[168/200] 2ee638a70237.jpg: 版面 | 白底棉纸印有红色“云南七子饼茶”及厂名，中央为绿色“春尖茶”大字与红色小字说明。
[166/200] 0b34a9302c8e.png: 版面 | 大益牌暗香普洱生茶版面，白底深蓝色纹饰边框，中央印有梅花图案及“疏影横斜水清浅”诗句，标注净含量400
[154/200] 1aa4ab5ea3b7.jpg: 汤色 | 玻璃公道杯中茶汤呈橙红色，透亮。
[170/200] a73460932bb8.jpg: 饼面 | 饼面呈黑褐色，条索紧结，可见明显茶梗。
[169/200] f0c23851068f.jpg: 汤色 | 白瓷品茗杯中茶汤呈红浓色，表面及中央有细密气泡，汤中可见悬浮碎屑。
[173/200] 9454da7a57ec.jpg: 汤色 | 玻璃公道杯中茶汤呈深橙色，透亮。
[172/200] 64132f0f5744.jpg: 饼面 | 黑褐色条索紧结，金毫显露，中间呈凹陷窝底状。
[175/200] 0f5e2e45bde0.jpg: 版面 | 蓝色六边形纸盒版面，印有红色“重庆沱茶”及黑色“Tuo Tea”字样，中央饰有布鲁塞尔世界金质奖章图案
[176/200] d964cf3b07dc.jpg: 其他 | 干茶条索紧结，色泽墨褐深灰，夹杂黄褐色条索。
[167/200] 5036d4bf45af.jpg: 汤色 | 青花品茗杯中盛有红浓明亮的茶汤，色泽深红泛褐。
[174/200] c1ed4a0a897c.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙黄色，边缘有气泡，汤中可见深色碎渣悬浮。
[179/200] 0f3e3c805428.jpg: 其他 | 工厂车间内摆放着大型银色不锈钢罐体与蓝色电机设备，地面为绿色。
[178/200] db37cf3f9cdf.jpg: 汤色 | 白色品茗杯中盛有橙黄色茶汤，色泽明亮。
[171/200] 2c2db412d7f1.jpg: 饼面 | 深褐色条索紧结的沱茶，表面夹杂金黄芽头，右侧嵌有白色内飞，后方衬有印着孔雀图案及“班章乔木生态沱茶”字
[181/200] 6c3549a0dc59.jpg: 汤色 | 玻璃公道杯中盛有红浓明亮的茶汤，旁置一把紫砂壶。
[180/200] a6973d5a3965.jpg: 汤色 | 白瓷品茗杯中茶汤呈深红褐色，明亮。
[177/200] fd2a6555dade.jpg: 汤色 | 品茗杯中盛有橙黄色茶汤，汤色明亮，边缘有细密气泡且汤中可见悬浮碎屑。
[185/200] 51d1e2502705.jpg: 其他 | 牛皮纸色包装盒面，印有蓝色“金九”字样、黄色图案及“2013年勐海县今大福茶厂出品”黑色文字。
[183/200] 8193ab64a037.jpg: 饼面 | 深褐色条索紧结，表面嵌有绿字红圈内飞。
[182/200] 9ef158a8f159.jpg: 其他 | 黑褐色紧压茶块，条索紧结，呈不规则块状散落于木盘上。
[187/200] ca51841edd82.jpg: 汤色 | 青瓷品茗杯中茶汤呈橙黄色，明亮，杯底可见少许深色碎渣。
[188/200] 7339592892cf.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙黄色，明亮，可见少量细微悬浮物。
[186/200] 5332b2a8f5c8.jpg: 版面 | 白色棉纸印有“一生茶语”及“戊戌·普洱生茶 357g”字样，中央为竖排黑色大字，下方饰有深色几何纹样大
[190/200] ce11baca5c12.jpg: 汤色 | 玻璃公道杯中茶汤呈红浓明亮色，液面有细密泡沫。
[184/200] 6a56a0049b25.jpg: 汤色 | 玻璃公道杯中盛有橙红色茶汤，清澈透亮。
[192/200] 90f2a949c399.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙红明亮，汤中悬浮少量黑色碎末。
[189/200] 421ebfc82a88.jpg: 汤色 | 白瓷品茗杯中盛有橙黄色茶汤，汤色明亮，液面边缘可见少许气泡。
[193/200] 4408df8cca59.jpg: 饼面 | 深褐色饼面条索紧结，间杂金黄色芽头，左上方压有一张印有勐海茶厂字样的内飞。
[194/200] 6d08a5047f3f.jpg: 汤色 | 白瓷品茗杯中盛有红浓明亮的茶汤。
[195/200] 1c26867b792c.jpg: 饼面 | 条索紧结，色泽黑褐，间杂黄褐色芽叶。
[191/200] 6e54139501c1.jpg: 汤色 | 白瓷碗中茶汤浅黄混浊，表面漂浮大量细密泡沫与深色紧结茶块。
[196/200] 2e0196d9e018.jpg: 汤色 | 玻璃公道杯中茶汤呈深红褐色，红浓明亮。
[199/200] d3a2b5517c1a.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙红色，明亮，杯底散落黑色碎茶末。
[198/200] 2197aafb46a6.jpg: 汤色 | 白瓷品茗杯中盛有橙黄色茶汤，汤色明亮，杯底可见少量细碎茶渣。
[200/200] 7f7d8ed985c0.jpg: 汤色 | 白瓷品茗杯中茶汤呈浅黄色，明亮。
[197/200] f6da0ae1fdc6.jpg: 其他 | 青花瓷建水，口部覆盖铜色镂空回纹盖，釉面光洁。
Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/site-packages/urllib3/connectionpool.py", line 787, in urlopen
    response = self._make_request(
        conn,
    ...<10 lines>...
        **response_kw,
    )
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/site-packages/urllib3/connectionpool.py", line 534, in _make_request
    response = conn.getresponse()
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/site-packages/urllib3/connection.py", line 571, in getresponse
    httplib_response = super().getresponse()
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/http/client.py", line 1450, in getresponse
    response.begin()
    ~~~~~~~~~~~~~~^^
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/http/client.py", line 336, in begin
    version, status, reason = self._read_status()
                              ~~~~~~~~~~~~~~~~~^^
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/http/client.py", line 297, in _read_status
    line = str(self.fp.readline(_MAXLINE + 1), "iso-8859-1")
               ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/socket.py", line 725, in readinto
    return self._sock.recv_into(b)
           ~~~~~~~~~~~~~~~~~~~~^^^
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/ssl.py", line 1304, in recv_into
    return self.read(nbytes, buffer)
           ~~~~~~~~~^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/ssl.py", line 1138, in read
    return self._sslobj.read(len, buffer)
           ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
ConnectionResetError: [Errno 54] Connection reset by peer

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/site-packages/requests/adapters.py", line 644, in send
    resp = conn.urlopen(
        method=request.method,
    ...<9 lines>...
        chunked=chunked,
    )
